gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
SNORA25,SNORA25|ENSG00000251744.1,107,0.81363034,0.90946347,-0.09583312,0.33948540687561035,0.17522788047790527,-0.16425752639770508
RN7SL116P,RN7SL116P,101,0.8185005,0.9143532,-0.09585267,0.2730298340320587,0.1461411565542221,-0.1268886774778366
EFCAB1,EFCAB1,97,0.8443606,0.94024193,-0.09588134,0.2635386288166046,0.10139431059360504,-0.16214431822299957
CCNE2,CCNE2,118,0.846955,0.9428852,-0.09593022,0.2669908106327057,0.11172112822532654,-0.15526968240737915
MIR5708,MIR5708,97,0.8014264,0.8973619,-0.095935464,0.36973506212234497,0.20291656255722046,-0.1668184995651245
ZBTB10,ZBTB10,102,0.8507258,0.94670266,-0.09597683,0.4499666094779968,0.181204155087471,-0.2687624543905258
MIR554,MIR554,100,0.7355171,0.8315012,-0.0959841,0.47626736760139465,0.3411591053009033,-0.13510826230049133
DEFB115,DEFB115,92,0.7262449,0.8224242,-0.09617925,0.3847625255584717,0.2049718052148819,-0.17979072034358978
ACTL6A,ACTL6A,112,0.7756997,0.8719349,-0.096235216,0.2941412031650543,0.17559920251369476,-0.11854200065135956
LINC00354,LINC00354,87,0.52437735,0.620682,-0.096304655,0.3838943541049957,0.3021577298641205,-0.08173662424087524
SNORD64,SNORD64|ENSG00000212161.1,104,0.8526922,0.9490862,-0.096394,0.2568128705024719,0.09208174794912338,-0.16473112255334854
FER1L6,FER1L6,113,0.80500424,0.9015438,-0.09653956,0.39144498109817505,0.22020834684371948,-0.17123663425445557
AGXT2,AGXT2,96,0.7741747,0.8707868,-0.096612096,0.33341631293296814,0.18222586810588837,-0.15119044482707977
CNTD2,CNTD2,84,0.5905167,0.6871426,-0.096625924,0.2577213644981384,0.21036234498023987,-0.04735901951789856
PKHD1L1,PKHD1L1,114,0.8661276,0.9627722,-0.09664458,0.3649608790874481,0.11627518385648727,-0.24868569523096085
