gene,raw_identifier,n_masked,neural_r,neural_mse,rank_r,rank_mse,quality_score
DLG1,DLG1,101,0.8370765,0.24758359789848328,0.8972624798711756,0.9404186795491143,0.9188405797101449
UBR5,UBR5,89,0.8392798,0.2516157627105713,0.9049919484702094,0.9317230273752013,0.9183574879227053
MIR3649,MIR3649,104,0.8466848,0.2605728209018707,0.922061191626409,0.9136876006441224,0.9178743961352657
C8orf56,C8orf56,103,0.8671437,0.28180620074272156,0.9616747181964573,0.8734299516908213,0.9175523349436393
ZNF7,ZNF7,107,0.8967326,0.2981962263584137,0.992914653784219,0.8421900161030595,0.9175523349436392
OPA1,OPA1,107,0.88098335,0.29173675179481506,0.980354267310789,0.8544283413848631,0.9173913043478261
RN7SL19P,RN7SL19P,102,0.872999,0.28654903173446655,0.9694041867954911,0.8650563607085346,0.9172302737520128
TRIQK,TRIQK,89,0.86339045,0.2796124815940857,0.9568438003220612,0.8772946859903382,0.9170692431561998
DNMT3B,DNMT3B,102,0.8336056,0.24390585720539093,0.8879227053140096,0.9462157809983897,0.9170692431561996
MC3R,MC3R,100,0.821234,0.18487659096717834,0.8418679549114332,0.9919484702093397,0.9169082125603865
DPYS,DPYS,91,0.8432956,0.257758229970932,0.9140096618357488,0.9181964573268921,0.9161030595813204
A2M,A2M,85,0.8224257,0.2031291127204895,0.8457326892109501,0.9864734299516909,0.9161030595813204
MYNN,MYNN,108,0.83930886,0.25436457991600037,0.9053140096618357,0.9265700483091788,0.9159420289855073
C12orf57,C12orf57,111,0.8442471,0.25991755723953247,0.9159420289855073,0.9143317230273752,0.9151368760064412
GSS,GSS,107,0.83558756,0.2487257421016693,0.8924315619967794,0.937842190016103,0.9151368760064412
CLEC2D,CLEC2D,114,0.871239,0.28794270753860474,0.9677938808373591,0.8621578099838969,0.914975845410628
HRASLS,HRASLS,104,0.854765,0.2736973166465759,0.9413848631239936,0.886634460547504,0.9140096618357488
SOX18,SOX18,118,0.85189134,0.2716447412967682,0.9349436392914654,0.8930756843800322,0.9140096618357487
EIF5A2,EIF5A2,99,0.83180547,0.24538643658161163,0.8840579710144928,0.9436392914653784,0.9138486312399356
RNA5SP149,RNA5SP149,113,0.8232266,0.21423210203647614,0.8492753623188406,0.9784219001610306,0.9138486312399356
LINC00940,LINC00940,106,0.8199551,0.1786077320575714,0.8347826086956521,0.992914653784219,0.9138486312399355
TRMT12,TRMT12,107,0.86252505,0.28188085556030273,0.9542673107890499,0.8727858293075684,0.9135265700483092
LINC00535,LINC00535,105,0.8367402,0.25165480375289917,0.8956521739130435,0.9310789049919485,0.913365539452496
RNA5SP145,RNA5SP145,109,0.85838664,0.27949321269989014,0.9481481481481482,0.8782608695652174,0.9132045088566828
ELMO2,ELMO2,99,0.8176586,0.15286611020565033,0.8270531400966183,0.9987117552334943,0.9128824476650563
CCNE2,CCNE2,118,0.846955,0.2669908106327057,0.9227053140096618,0.9027375201288245,0.9127214170692431
ETV5,ETV5,124,0.82637864,0.23319275677204132,0.8647342995169082,0.9603864734299516,0.91256038647343
EFCAB1,EFCAB1,97,0.8443606,0.2635386288166046,0.9165861513687601,0.9085346215780998,0.91256038647343
CRH,CRH,95,0.87938035,0.2960999011993408,0.9780998389694042,0.8463768115942029,0.9122383252818036
MCCC1,MCCC1,106,0.82256204,0.21687576174736023,0.8466988727858293,0.9761674718196457,0.9114331723027376
EPHB3,EPHB3,116,0.8209396,0.21271519362926483,0.8405797101449275,0.9813204508856683,0.9109500805152979
IVL,IVL,95,0.8324014,0.2503358721733093,0.8856682769726248,0.9349436392914654,0.9103059581320452
GDAP1,GDAP1,111,0.8481252,0.2715681493282318,0.9259259259259259,0.8933977455716586,0.9096618357487922
SYBU,SYBU,87,0.8266072,0.23912885785102844,0.8657004830917875,0.9526570048309179,0.9091787439613527
